iter	Passed	Remaining
0	0	313
1	1	313
2	1	317
3	2	310
4	3	306
5	3	302
6	4	300
7	4	300
8	5	297
9	6	295
10	6	294
11	7	293
12	7	290
13	8	290
14	8	289
15	9	288
16	10	287
17	10	291
18	11	290
19	12	290
20	12	289
21	13	288
22	13	286
23	14	288
24	15	287
25	15	286
26	16	286
27	16	285
28	17	284
29	18	284
30	18	283
31	19	282
32	19	281
33	20	281
34	21	280
35	21	279
36	22	278
37	22	277
38	23	277
39	24	276
40	24	275
41	25	275
42	25	274
43	26	273
44	27	273
45	27	272
46	28	271
47	28	270
48	29	269
49	29	268
50	30	268
51	31	267
52	31	266
53	32	265
54	32	264
55	33	263
56	33	262
57	34	262
58	34	261
59	35	261
60	36	260
61	36	259
62	37	258
63	37	258
64	38	257
65	39	256
66	39	255
67	40	255
68	40	255
69	41	254
70	41	253
71	42	253
72	43	252
73	43	251
74	44	251
75	45	251
76	45	251
77	46	250
78	46	250
79	47	249
80	48	249
81	48	248
82	49	247
83	49	247
84	50	247
85	51	247
86	52	246
87	52	246
88	53	245
89	53	245
90	54	244
91	55	243
92	55	243
93	56	242
94	56	242
95	57	241
96	58	241
97	58	240
98	59	240
99	59	239
100	60	239
101	61	238
102	61	237
103	62	237
104	62	236
105	63	235
106	64	235
107	64	234
108	65	233
109	65	233
110	66	232
111	66	231
112	67	231
113	68	230
114	68	229
115	69	229
116	69	228
117	70	228
118	71	227
119	71	226
120	72	226
121	72	225
122	73	224
123	73	224
124	74	223
125	75	223
126	75	222
127	76	221
128	76	221
129	77	220
130	78	219
131	78	219
132	79	218
133	79	218
134	80	217
135	80	216
136	81	216
137	82	215
138	82	214
139	83	214
140	83	213
141	84	213
142	85	212
143	85	211
144	86	211
145	86	210
146	87	209
147	87	209
148	88	208
149	89	208
150	89	207
151	90	207
152	91	206
153	91	205
154	92	205
155	92	204
156	93	203
157	93	203
158	94	202
159	95	202
160	95	201
161	96	201
162	96	200
163	97	199
164	98	199
165	98	198
166	99	197
167	99	197
168	100	196
169	101	196
170	101	195
171	102	194
172	102	194
173	103	193
174	103	193
175	104	192
176	105	191
177	105	191
178	106	190
179	106	190
180	107	189
181	108	188
182	108	188
183	109	187
184	109	187
185	110	186
186	111	185
187	111	185
188	112	184
189	112	184
190	113	183
191	114	183
192	114	182
193	115	181
194	115	181
195	116	180
196	117	179
197	117	179
198	118	178
199	118	178
200	119	177
201	119	176
202	120	176
203	121	175
204	121	175
205	122	174
206	122	173
207	123	173
208	124	172
209	124	172
210	125	171
211	125	171
212	126	170
213	127	170
214	127	169
215	128	168
216	128	168
217	129	167
218	130	166
219	130	166
220	131	165
221	131	165
222	132	164
223	133	164
224	133	163
225	134	162
226	134	162
227	135	161
228	136	161
229	136	160
230	137	160
231	138	159
232	138	158
233	139	158
234	139	157
235	140	157
236	140	156
237	141	155
238	142	155
239	143	154
240	143	154
241	144	153
242	145	153
243	145	152
244	146	152
245	146	151
246	147	151
247	148	150
248	148	149
249	149	149
250	149	148
251	150	148
252	151	148
253	152	147
254	153	147
255	153	146
256	154	145
257	154	145
258	155	144
259	156	144
260	156	143
261	157	142
262	157	142
263	158	141
264	158	140
265	159	140
266	160	139
267	160	139
268	161	138
269	161	137
270	162	137
271	163	136
272	163	136
273	164	135
274	164	134
275	165	134
276	166	133
277	166	133
278	167	132
279	167	131
280	168	131
281	169	130
282	169	130
283	170	129
284	171	129
285	171	128
286	172	127
287	172	127
288	173	126
289	174	126
290	174	125
291	175	124
292	175	124
293	176	123
294	177	123
295	177	122
296	178	121
297	178	121
298	179	120
299	180	120
300	180	119
301	181	118
302	182	118
303	182	117
304	183	117
305	183	116
306	184	115
307	184	115
308	185	114
309	186	114
310	186	113
311	187	112
312	187	112
313	188	111
314	189	111
315	189	110
316	190	109
317	190	109
318	191	108
319	192	108
320	192	107
321	193	106
322	193	106
323	194	105
324	195	105
325	195	104
326	196	103
327	197	103
328	197	102
329	198	102
330	198	101
331	199	100
332	200	100
333	200	99
334	201	99
335	201	98
336	202	97
337	203	97
